NbMobile;UR
0;0.0
1;1.3249336870026525
2;1.4906785980611483
3;1.5742782152230972
4;1.6151050080775444
5;1.6320600718250082
6;1.6426615553121577
7;1.6468235294117648
8;1.6499587458745875
9;1.6653330666133226
10;1.6664
11;1.6666
12;1.6666
13;1.6666
14;1.6666
15;1.6666
16;1.6666
