NbMobile;UR
0;0.0
1;1.3249336870026525
2;1.3255968169761274
3;1.3246466431095407
4;1.3241721854304636
5;1.3245892951775304
6;1.3219479947113266
7;1.3236647329465894
8;1.3228
9;1.323
10;1.324
11;1.323
12;1.3244
13;1.323
14;1.3238
15;1.3236
16;1.3234
