Charge;Ping
98;6.0
99;6.0
100;6.0
99;5.0
100;6.0
150;7.0
148;6.0
150;7.0
151;7.0
149;6.0
150;7.0
198;8.0
202;8.0
201;7.0
198;7.0
249;9.0
249;9.0
249;9.0
249;9.0
249;9.0
254;84.0
253;193.0
253;199.0
253;199.0
254;198.0
253;199.0
254;199.0
254;199.0
253;199.0
253;199.0
253;199.0
253;199.0
254;199.0
253;199.0
254;199.0
253;199.0
253;199.0
253;199.0
253;199.0
254;199.0
254;199.0
254;199.0
254;199.0
254;199.0
253;199.0
253;200.0
253;200.0
253;199.0
253;200.0
253;199.0
254;199.0
